event_id,timestamp,user_id,department,role,action,resource,method,status_code,source_ip,source_country,source_city,user_agent,session_id,data_transferred_bytes,hour,is_failed_login,Z_bytes,Z_failed,geo_risk,time_risk,risk_score
00971ff8-9542-4daa-a28a-3abc45df4570,2026-08-01 00:01:35+00:00,user_0027,Engineering,admin,login,/api/v1/login,DELETE,401,10.0.30.121,RU,Moscow,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,74078792-60a,1383,0,1,-0.10848715507848823,3.1443815056766766,2.0,1.5,6.646252455868497
b7b0b0de-70aa-48c7-82c1-49647c1bb1bf,2026-08-01 03:43:44+00:00,user_0020,Finance,admin,outlook,/api/v1/users,PUT,401,192.168.1.246,UZ,Tashkent,Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148,9954bf41-fc0,1297,3,1,-0.1085114995579548,3.1443815056766766,0.0,1.5,4.646253295394038
1fade5b9-f00c-4135-baae-25c3495a9239,2026-08-01 04:50:46+00:00,user_0039,HR,employee,gmail,/api/v1/reports,PUT,401,192.168.5.86,UZ,Tashkent,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,2cf00c6b-707,1910,4,1,-0.10833797437291977,3.1443815056766766,0.0,1.5,4.646247315443074
1ba02bf5-f36f-4e53-a85b-17a25b263e80,2026-08-01 05:21:06+00:00,user_0027,Engineering,admin,gmail,/api/v1/files/upload,GET,401,192.168.10.192,UZ,Tashkent,Mozilla/5.0 (X11; Linux x86_64; rv:121.0) Gecko/20100101 Firefox/121.0,87d06b92-fbb,1200,5,1,-0.10853895786619037,3.1443815056766766,0.0,1.5,4.646254242526532
d5a9e627-677f-488a-b7fb-ffdada1caa25,2026-08-01 05:49:02+00:00,user_0034,Finance,manager,shopify,/api/v1/files/download,POST,200,162.165.180.83,RU,Berlin,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) AppleWebKit/605.1.15 Safari/605.1.15,c87187ee-748,1817,5,0,-0.1083643003797848,-0.317953608151654,2.0,1.5,3.83591266503878
fc799855-a4c3-4a60-9b75-c3df42e66a6f,2026-08-01 06:39:53+00:00,user_0001,Engineering,admin,login,/api/v1/login,DELETE,401,157.193.25.78,TR,Almaty,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) AppleWebKit/605.1.15 Safari/605.1.15,f69ffb9a-dbd,2132,6,1,-0.10827513164685489,3.1443815056766766,2.0,0.0,5.146245152141624
52619f8d-7456-4f80-acbe-5ca546bd165b,2026-08-01 22:32:28+00:00,user_0042,Sales,employee,gmail,/api/v1/files/upload,POST,401,192.168.3.216,UZ,Tashkent,Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148,25aa43df-e85,4507,22,1,-0.1076028277080976,3.1443815056766766,0.0,0.0,3.146222087166178
29502feb-d9be-4cc8-a0e0-06a35f132702,2026-08-01 23:06:27+00:00,user_0032,Engineering,manager,sap,/api/v1/settings,DELETE,200,164.223.52.220,KZ,Dubai,Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148,d84a1943-057,2200,23,0,-0.10825588252355572,-0.317953608151654,2.0,0.0,2.33587770547866
817644d3-a3d7-436e-8189-7432873c680a,2026-08-01 23:10:12+00:00,user_0021,IT,manager,shopify,/api/v1/reports,GET,401,102.115.203.159,CN,London,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,ccc58d0b-5db,3654,23,1,-0.10784429097536495,3.1443815056766766,2.0,0.0,5.146230354620828
32399d34-f4cc-4f88-9204-14bbcef84d70,2026-08-01 23:17:39+00:00,user_0029,Sales,employee,confluence,/api/v1/users,GET,401,192.168.6.72,UZ,Tashkent,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,8e9ef350-d09,547,23,1,-0.10872380606493079,3.1443815056766766,0.0,0.0,3.1462606248126948
8dd0cf9f-2048-4e87-a8c9-46080c00fd5b,2026-08-01 23:56:53+00:00,user_0014,Finance,admin,login,/api/v1/login,GET,403,131.14.19.248,DE,New York,Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148,f883918f-ae0,2278,23,1,-0.10823380264683022,3.1443815056766766,2.0,0.0,5.146243730113246
b8a07750-5fea-406e-a788-c764b112b7bb,2026-08-02 00:23:14+00:00,user_0016,IT,admin,login,/api/v1/login,POST,403,10.13.174.118,RU,Moscow,Mozilla/5.0 (X11; Linux x86_64; rv:121.0) Gecko/20100101 Firefox/121.0,917a0611-169,1587,0,1,-0.10842940770859076,3.1443815056766766,2.0,1.5,6.646250465188295
f80515a9-dda0-443f-9cd7-aa4e9977a161,2026-08-02 01:27:07+00:00,user_0020,Finance,admin,health,/api/v1/billing,POST,401,192.168.9.41,UZ,Tashkent,Mozilla/5.0 (X11; Linux x86_64; rv:121.0) Gecko/20100101 Firefox/121.0,bf0a9e26-aef,4517,1,1,-0.10759999695467126,3.1443815056766766,0.0,1.5,4.646221990353855
5acd7fe3-96e7-4f17-804f-5505fc1c0b23,2026-08-02 02:00:29+00:00,user_0037,HR,manager,files/download,/api/v1/files/download,GET,401,192.168.8.13,UZ,Tashkent,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) AppleWebKit/605.1.15 Safari/605.1.15,ceb07186-00f,9402107,2,1,2.552626012235228,3.1443815056766766,0.0,1.5,5.5500660008920155
bf88e89e-eb94-4b3c-9253-da7313bcf263,2026-08-02 03:18:02+00:00,user_0017,IT,manager,login,/api/v1/login,DELETE,403,10.224.7.70,RU,Moscow,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) AppleWebKit/605.1.15 Safari/605.1.15,851d41d3-2ce,3286,3,1,-0.1079484627014545,3.1443815056766766,2.0,1.5,6.646233927069177
63886695-3f13-49f0-a4d9-34744cbefe36,2026-08-02 03:52:40+00:00,user_0002,Marketing,admin,files/download,/api/v1/files/download,DELETE,401,192.168.4.115,UZ,Tashkent,Mozilla/5.0 (X11; Linux x86_64; rv:121.0) Gecko/20100101 Firefox/121.0,461bb0a5-62f,44005030,3,1,12.347860296620414,3.1443815056766766,0.0,1.5,14.241930346619242
00eeaf17-c265-4df1-bd4b-55875fb37ac3,2026-08-02 05:58:50+00:00,user_0044,Finance,intern,gmail,/api/v1/search,DELETE,403,192.168.6.58,UZ,Tashkent,Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148,6eb92307-fb6,3151,5,1,-0.10798667787271019,3.1443815056766766,0.0,1.5,4.646235238477808
6689c61d-86eb-416a-bdf5-0b703ab8ad64,2026-08-02 05:59:50+00:00,user_0019,Sales,employee,outlook,/api/v1/users,DELETE,403,192.168.8.40,UZ,Tashkent,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,60132ad4-9ce,3076,5,1,-0.10800790852340778,3.1443815056766766,0.0,1.5,4.646235967238491
a9d65fa8-0c55-444f-8c25-7c4285e9908e,2026-08-02 23:06:53+00:00,user_0003,Finance,manager,search,/api/v1/login,PUT,401,192.168.7.25,UZ,Tashkent,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) AppleWebKit/605.1.15 Safari/605.1.15,7bd77804-c84,2127,23,1,-0.10827654702356805,3.1443815056766766,0.0,0.0,3.146245200850829
5df9dae6-6111-4e54-9301-36cc2526144b,2026-08-02 23:11:55+00:00,user_0006,Engineering,admin,search,/api/v1/calendar,GET,403,192.168.8.98,UZ,Tashkent,Mozilla/5.0 (X11; Linux x86_64; rv:121.0) Gecko/20100101 Firefox/121.0,11da54e6-28a,4015,23,1,-0.10774210077667384,3.1443815056766766,0.0,0.0,3.1462268534740616
c2b9058d-97b0-4566-954d-8781fed354be,2026-08-02 23:48:03+00:00,user_0005,Finance,admin,login,/api/v1/login,POST,403,105.101.202.149,DE,New York,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) AppleWebKit/605.1.15 Safari/605.1.15,bca50bdb-6e9,3947,23,1,-0.107761349899973,3.1443815056766766,2.0,0.0,5.146227512716425
52d26581-8d9c-4acd-b6d0-2cc3c0e9165e,2026-08-02 23:58:31+00:00,user_0050,HR,employee,login,/api/v1/login,POST,401,107.6.2.149,IN,Beijing,Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148,2cf29d1e-a0e,478,23,1,-0.10874333826357259,3.1443815056766766,2.0,0.0,5.146261299837988
54341886-9906-4d1a-93a3-dd4fc7f08aff,2026-08-03 00:24:57+00:00,user_0022,Finance,intern,files/download,/api/v1/files/download,DELETE,401,192.168.5.118,UZ,Tashkent,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) AppleWebKit/605.1.15 Safari/605.1.15,13f30695-51c,4956358,0,1,1.2941440907926043,3.1443815056766766,0.0,1.5,4.9002858675374545
82f16dba-b2f0-456a-9524-c8c172157f86,2026-08-03 00:26:35+00:00,user_0008,HR,employee,admin,/api/v1/admin/audit,POST,401,192.168.9.138,UZ,Tashkent,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,2ae674b0-8c1,908,0,1,-0.10862161586623968,3.1443815056766766,0.0,1.5,4.646257095133027
